,distance,score
0,0.11548874584790618,4
1,0.012363869868125377,4
2,-0.0010051988807222084,3
3,-0.10721644830332636,1
4,0.18352490200086105,3
5,0.13449522854287918,5
6,0.22675566104904363,5
7,0.007025847352164244,3
8,0.2122551859389673,5
9,0.36860729157437205,5
10,-0.061686227819863285,4
11,0.14806201763782711,5
12,0.018688668122021173,5
13,0.0219846279286657,4
14,-7.091945959191489e-06,4
15,-0.020866758046819877,5
16,0.20111194943466468,5
17,-0.0027016664510327456,5
18,-0.03847699453578132,5
19,-0.041394476806719205,5
20,0.1479644722691537,5
21,-0.11389311111688166,3
22,-0.08592170672783664,3
23,-0.032487502023336154,4
24,0.0008758798526811024,1
25,0.004035002686829523,2
26,0.014220882951276466,5
27,-0.12342026521186295,2
28,-0.08683777840661146,5
29,0.03716086324913869,5
30,0.05693979609985322,5
31,0.018274096134332937,5
32,-0.00563611232173871,5
33,0.09839363633246226,5
34,0.07307193363551243,5
35,0.007318726863090909,2
36,0.0,5
37,-0.0009834088170382544,5
38,0.21089917370221378,5
39,0.12057237221358096,4
40,0.08674592273963928,5
41,-0.0030791034323030134,5
42,0.0,4
43,-0.07566718447508895,1
44,0.011583588069624597,5
45,-0.005112449299483006,3
46,-0.03594355941442619,5
47,0.06471852443675782,3
48,0.11378681127917788,5
49,0.016097252788692454,5
50,0.057444262727374976,5
51,-0.03528485225308276,4
52,0.232058090155698,5
53,0.0336260714724607,2
54,0.004854991875064137,5
55,0.3107520668918129,5
56,-0.002064680356590999,3
57,-0.008176979264751494,5
58,0.15965093483155554,5
59,0.1479644722691537,5
60,-0.2142164217481578,4
61,0.3107520668918129,5
62,-0.051377872778594263,5
63,-0.11269493701023788,5
64,0.006773950483057415,1
65,0.012415892235982627,5
66,-0.00604199937245567,5
67,0.06675201375971615,5
68,0.0,3
69,0.008202689712293276,5
70,-0.03505050752549169,2
71,0.11672167847205918,5
72,0.028967550822929775,4
73,0.3107520668918129,5
74,0.5254954853605626,5
75,0.08810026350511016,5
76,0.13395431631187893,5
77,0.08098195912008566,5
78,0.029556167693140664,5
79,0.2553692315140733,5
80,0.0,5
81,-0.02391835214977754,3
82,0.2888745513805082,5
83,0.1814412590476568,5
84,0.07522353324794738,4
85,0.1146285547334056,5
86,0.13499120141652315,5
87,0.3034790471960098,5
88,0.013570802049783181,5
89,-0.00623974780085472,3
90,0.047349275016638534,5
91,0.000576725296393865,5
92,0.11513101578974194,5
93,0.0800078242088446,5
94,-0.005434567814267995,5
95,0.12476609578256201,5
96,0.09346988748443753,5
97,0.151822611720298,5
98,-0.001387671548149946,5
99,0.11226343397270391,5
100,0.13451360844053245,4
101,0.13345349257094954,5
102,0.0438806093374894,5
103,-0.0014098483625840745,5
104,0.15965093483155554,5
105,0.15965093483155554,4
