,predict
0,4.2984334722506174
1,4.678694132664105
2,5.0
3,4.2984334722506174
4,4.702154069980256
5,5.0
6,1.0916190858379977
7,3.859545145997613
8,5.0
9,3.661343804616547
10,4.590089711532292
11,4.101578777044035
12,3.5417531478336026
13,4.703601848578857
14,1.7436938287576873
15,4.2984334722506174
16,4.109587450534424
17,3.9325998708006793
18,4.2984334722506174
19,5.0
20,4.2984334722506174
21,1.901774346848283
22,4.323762582346841
23,5.0
24,4.2984334722506174
25,4.3473536983847065
26,4.576661370834134
27,4.468005757863174
28,4.481658824388348
29,3.5951871460673246
30,4.908719752678716
31,3.9813618528552976
32,4.078347229539397
33,4.853962625745594
34,5.0
35,4.2984334722506174
36,5.0
37,5.0
38,4.155775562393992
39,3.3557625732632452
40,4.773574293724674
41,4.2984334722506174
42,4.69573228764917
43,4.2984334722506174
44,4.827419254392144
45,4.551522983375054
46,4.506743754903322
47,3.3037138209345116
48,1.0
49,4.499813328510814
50,4.022483699941489
51,5.0
52,4.708775728126542
53,3.3019157857342183
54,4.2984334722506174
55,3.8705493601978143
56,4.044224461997683
57,4.010808197830234
58,4.352993314286362
59,3.919223868126233
60,3.9084522709685983
61,4.484218736568694
62,4.5731885279915625
63,4.734267411363513
64,2.9998412702311357
65,4.2984334722506174
66,1.0
67,4.6014929234344235
68,3.886169030000253
69,4.418164718386021
70,4.848873718928449
71,5.0
72,4.506743754903322
73,3.9497874761729133
74,2.4344484859024416
75,4.040019440819757
76,3.8919350231766874
77,4.49210903962011
78,4.831709544841467
79,4.414658393957813
80,2.403574247183468
81,4.4105164174863
82,4.9569031577563525
83,4.2984334722506174
84,4.888978278898474
85,5.0
86,4.522696500783043
87,4.442935081136551
88,4.2984334722506174
89,4.2984334722506174
90,5.0
91,3.9846466434886247
92,3.996546520109792
93,3.811010503198151
94,4.2984334722506174
95,3.789128017838574
96,4.59451235916064
97,4.072698288875589
98,4.810211135390464
99,4.506743754903322
100,2.95008286940632
101,4.2984334722506174
102,4.6286952027809605
103,4.2984334722506174
104,2.9210771233780264
105,5.0
106,4.2984334722506174
107,5.0
108,4.506743754903322
109,4.2984334722506174
110,4.2984334722506174
111,5.0
112,4.390739536981315
113,4.50236341766832
114,3.9632922530348993
115,4.2984334722506174
116,4.730279045778188
117,4.2984334722506174
118,4.001882615861117
119,4.318964048890366
120,3.987096734646971
121,4.128600955332368
122,4.390424124017185
123,4.965611386212985
124,3.0537376872899573
125,4.2984334722506174
126,3.9147499051909547
127,5.0
128,4.621209442707498
129,4.72079910432352
130,4.2984334722506174
131,3.4695249018620054
132,4.2984334722506174
133,4.6113173850255045
134,5.0
135,4.744797946691735
136,4.2984334722506174
137,4.460887671065475
138,4.224823023198259
139,4.597818375358064
140,5.0
141,3.89962480862171
142,4.2984334722506174
143,3.5435415457451054
144,1.6251029638024121
145,4.835443984779011
146,4.593574653539071
147,4.999296356772102
148,4.996429413928467
149,5.0
150,4.2984334722506174
151,1.2228227135479734
152,3.1649172309919074
153,4.492133403178656
154,4.2984334722506174
155,3.4488957165487903
156,4.8101522222506174
157,3.4946985630583525
158,4.773575379242942
159,3.8898246875351186
160,4.2984334722506174
161,4.421601597456997
162,2.8743012427215966
163,3.2960907109896747
164,4.000756223106095
165,4.2984334722506174
166,4.451815046817574
167,4.35673519248745
168,4.4541707512449005
169,4.2984334722506174
170,5.0
171,2.482157849266332
172,4.182385610270843
173,1.2426863419075724
174,3.515241062862517
175,3.821308980282602
176,3.7727761603802463
177,2.3547764001858686
178,5.0
179,1.0
180,4.997845001415326
181,5.0
182,4.605592018952471
183,4.595256778049355
184,5.0
185,4.0019048371550205
186,4.2984334722506174
187,4.3397006934960904
188,4.2984334722506174
189,4.232693585591691
190,4.506861296898925
191,4.446206280947342
192,4.2984334722506174
193,4.8101522222506174
194,4.002524645814177
195,4.2984334722506174
196,4.824520496331753
197,4.219807930123585
198,5.0
199,4.613968869619764
200,4.366958773669732
201,4.8101522222506174
202,4.482668059721607
203,4.692044704728488
204,4.2984334722506174
205,4.500212251303022
206,4.337596893497748
207,4.917351714186718
208,4.2984334722506174
209,4.446037995139812
210,4.145206824768043
211,4.5408023541165505
212,5.0
213,5.0
214,4.2984334722506174
215,3.921265852049734
216,4.687501699930901
217,4.421575012765003
218,4.073147916678768
219,4.618871894816309
220,4.09794591820585
221,3.6931172380782176
222,2.0316895288310572
223,4.2984334722506174
224,4.998554811005093
225,4.2984334722506174
226,4.792143567363178
227,3.8791697981699524
228,2.860106849986617
229,4.287580217140425
230,4.615461996661088
231,4.2984334722506174
232,5.0
233,4.491135285946519
234,3.9967891666324773
235,5.0
236,4.673152869237865
237,4.477804972101369
238,5.0
239,3.3871471621630076
240,4.2984334722506174
241,4.2984334722506174
242,4.758228479188525
243,5.0
244,4.566468359201115
245,4.369261847061938
246,3.315480142425134
247,4.788403618571622
248,4.611883117652128
249,4.269665583836308
250,4.3963447518971455
251,4.890520232505692
252,4.548372742557377
253,4.001637995873562
254,4.667703785028429
255,4.924729103139815
256,3.998868849552138
257,4.88225727151386
258,4.003512059383547
259,4.492039612957073
260,4.685891628779771
261,4.469648772416191
262,5.0
263,4.4458801767281155
264,3.9928712774878004
265,5.0
266,4.2984334722506174
267,4.2984334722506174
268,4.999585647207798
269,4.447119091668016
270,4.2984334722506174
271,4.993926843732943
272,4.345327930042205
273,3.972567025768089
274,1.1446814588950205
275,4.532459316883482
276,3.90089307204481
277,4.4194449556487045
278,4.2984334722506174
279,4.573902192924667
280,1.0372335012702214
281,4.108051756704832
282,1.0
283,3.1358118306219795
284,4.2984334722506174
285,4.96810498904706
286,4.4608518467692635
287,4.7266615919297355
288,4.429530894284882
289,4.2984334722506174
290,4.48684795871045
291,1.9977069732244095
292,4.2984334722506174
293,3.7313799966331476
294,4.204153812176843
295,4.2984334722506174
296,4.2984334722506174
297,4.2984334722506174
298,4.7717592190873175
299,1.9683723300467073
300,4.2984334722506174
301,4.2984334722506174
302,4.124496237134858
303,2.107241533165084
304,3.2931651709462786
305,4.2133582267219545
306,4.715494308229106
307,4.9248602196372335
308,2.219210573133684
309,4.998238126091141
310,4.177029815407601
311,4.7663748211324775
312,1.896638441532148
